"Scenario_name","Drug","IndividualId","Dose_mgkg","Sparse_AUC_ug_h_mL"
"Avelumab_Monkey_Dose0.3","Avelumab","24",0.3,332.729183761399
"Avelumab_Monkey_Dose0.3","Avelumab","25",0.3,273.033270019753
"Avelumab_Monkey_Dose0.3","Avelumab","26",0.3,228.647286641204
"Avelumab_Monkey_Dose0.3","Avelumab","27",0.3,259.177885792211
"Avelumab_Monkey_Dose0.3","Avelumab","28",0.3,416.699239351684
"Avelumab_Monkey_Dose0.3","Avelumab","29",0.3,207.777204703429
"Avelumab_Monkey_Dose0.3","Avelumab","3",0.3,307.765374939156
"Avelumab_Monkey_Dose0.3","Avelumab","30",0.3,564.948576647249
"Avelumab_Monkey_Dose0.3","Avelumab","31",0.3,255.632429442294
"Avelumab_Monkey_Dose0.3","Avelumab","32",0.3,458.219913549193
"Avelumab_Monkey_Dose0.3","Avelumab","33",0.3,314.976725698375
"Avelumab_Monkey_Dose0.3","Avelumab","34",0.3,253.908559545571
"Avelumab_Monkey_Dose0.3","Avelumab","35",0.3,283.994334276006
"Avelumab_Monkey_Dose0.3","Avelumab","36",0.3,185.606531481915
"Avelumab_Monkey_Dose0.3","Avelumab","37",0.3,214.467952118459
"Avelumab_Monkey_Dose0.3","Avelumab","38",0.3,402.128771217475
"Avelumab_Monkey_Dose0.3","Avelumab","39",0.3,252.876608900027
"Avelumab_Monkey_Dose0.3","Avelumab","4",0.3,263.790211594529
"Avelumab_Monkey_Dose0.3","Avelumab","40",0.3,254.670957283892
"Avelumab_Monkey_Dose0.3","Avelumab","41",0.3,205.618461627034
"Avelumab_Monkey_Dose0.3","Avelumab","42",0.3,462.385266928465
"Avelumab_Monkey_Dose0.3","Avelumab","43",0.3,341.840345219978
"Avelumab_Monkey_Dose0.3","Avelumab","44",0.3,280.298617056882
"Avelumab_Monkey_Dose0.3","Avelumab","45",0.3,288.838213318929
"Avelumab_Monkey_Dose0.3","Avelumab","46",0.3,260.983673557544
